screening_date,theater_id,movie_id,screening_time,tickets_sold,revenue
26/04/2024,62,270,16:29,409,4742
16/08/2024,28,13,12:48,304,1195
26/05/2024,14,94,14:29,330,4034
11/05/2024,25,439,12:42,369,3345
06/04/2024,49,327,12:59,223,1759
19/04/2024,77,154,10:39,454,1598
21/07/2024,78,291,9:26,283,4270
04/05/2024,63,256,11:39,337,1534
11/05/2024,12,455,16:27,90,2846
30/07/2024,32,117,19:38,310,2439
03/08/2024,27,126,9:41,78,1344
12/05/2024,84,129,18:28,385,2412
29/04/2024,54,458,15:24,133,4156
11/05/2024,81,510,11:18,428,5697
25/06/2024,13,78,16:09,158,1190
30/03/2024,10,269,20:54,113,5798
14/09/2024,14,110,19:30,179,4552
12/05/2024,72,134,20:07,255,4275
14/07/2024,34,254,18:11,160,3503
23/07/2024,19,104,10:20,68,2043
13/05/2024,78,474,14:53,196,3519
01/08/2024,7,196,13:12,254,2253
24/08/2024,30,405,20:37,223,2341
05/04/2024,60,229,17:05,279,1112
07/07/2024,2,174,10:06,382,2954
05/09/2024,74,159,15:58,290,1946
14/06/2024,52,462,11:29,404,2746
16/05/2024,29,387,20:42,67,1395
02/08/2024,32,53,20:13,126,4014
08/03/2024,32,423,12:43,61,1039
14/04/2024,40,30,13:07,241,4403
27/04/2024,80,204,10:45,464,2486
02/07/2024,75,57,14:08,254,3032
07/08/2024,57,395,19:02,152,4680
15/06/2024,7,189,13:00,308,5045
09/08/2024,72,111,19:26,177,4206
18/05/2024,35,228,16:22,356,4727
25/07/2024,67,489,19:31,297,3049
12/06/2024,36,510,20:22,374,4870
13/08/2024,79,306,11:26,432,2963
08/04/2024,74,549,17:29,455,3617
10/09/2024,41,384,20:59,249,1995
01/06/2024,21,511,9:57,38,1702
01/06/2024,61,518,10:49,180,3078
28/06/2024,3,333,9:42,309,3834
05/03/2024,77,10,20:34,413,3316
01/05/2024,25,491,20:23,107,3215
23/02/2024,60,181,18:20,74,3838
31/08/2024,49,251,10:47,230,5545
01/05/2024,44,163,16:21,47,5082
24/08/2024,8,84,18:20,470,4172
18/07/2024,3,238,16:07,346,3477
02/05/2024,4,37,19:06,32,2339
19/07/2024,58,526,10:08,249,3849
05/05/2024,39,338,16:06,62,3193
26/03/2024,71,149,16:26,217,3613
23/05/2024,22,144,17:08,63,4492
02/04/2024,23,64,10:05,94,2927
16/08/2024,26,192,16:03,144,3117
20/05/2024,17,50,18:47,411,2316
22/03/2024,30,552,14:32,196,1813
14/07/2024,6,60,12:14,188,4495
13/03/2024,23,456,13:32,141,1579
22/05/2024,58,517,13:04,386,4203
29/02/2024,10,16,20:48,165,1046
08/05/2024,73,111,13:49,343,1724
25/02/2024,6,388,9:42,29,5183
27/04/2024,16,249,19:33,299,2816
07/03/2024,56,488,15:12,114,5093
10/06/2024,59,417,14:50,467,4279
01/05/2024,28,527,10:51,333,1346
13/05/2024,17,351,12:27,451,2108
26/02/2024,84,323,11:06,339,2404
27/04/2024,11,300,20:05,375,4163
17/09/2024,84,113,12:42,170,4969
15/04/2024,20,163,13:55,424,1503
19/03/2024,32,319,15:07,36,3169
12/09/2024,46,443,14:09,236,4646
17/05/2024,22,210,11:14,228,1942
20/03/2024,14,274,10:12,177,1400
28/07/2024,22,13,13:52,371,5100
21/06/2024,70,176,16:29,332,5046
28/08/2024,80,150,13:47,250,5570
12/07/2024,1,228,16:11,384,5249
08/03/2024,1,467,13:36,42,4556
19/06/2024,42,118,17:02,224,1287
30/06/2024,23,57,16:06,362,5363
22/02/2024,52,410,15:55,432,3614
08/03/2024,5,214,10:00,403,4395
13/07/2024,22,379,15:51,173,923
06/05/2024,75,144,18:01,265,2203
22/05/2024,58,504,18:48,140,3194
02/08/2024,14,28,10:51,59,5339
26/08/2024,51,361,20:32,70,4855
07/08/2024,66,155,10:09,129,5780
03/04/2024,23,574,20:05,133,4054
26/08/2024,31,50,10:33,368,1603
08/07/2024,8,60,17:10,32,5496
18/04/2024,71,334,16:06,448,2699
20/04/2024,28,438,9:20,470,1907
13/08/2024,77,185,16:52,395,5701
14/08/2024,59,363,11:28,411,5369
30/03/2024,59,107,12:48,174,1935
06/07/2024,23,102,14:32,308,4702
20/06/2024,79,32,12:12,374,1493
11/06/2024,65,90,12:35,462,2580
09/04/2024,13,144,13:03,391,2839
10/05/2024,56,347,16:17,65,4560
28/08/2024,7,196,18:08,300,1764
27/03/2024,16,533,9:24,173,4196
02/03/2024,53,514,12:14,29,3179
16/08/2024,61,337,17:30,321,3115
03/07/2024,4,249,9:06,230,4412
23/03/2024,55,484,13:17,106,2207
13/05/2024,34,90,20:45,195,5563
14/06/2024,1,427,20:48,191,4601
11/03/2024,65,464,20:26,72,4010
11/08/2024,10,284,19:31,285,4494
15/09/2024,24,34,20:12,460,2762
01/08/2024,53,368,16:54,159,3892
03/05/2024,12,424,14:09,253,2408
25/05/2024,16,101,13:50,141,2509
10/07/2024,45,420,15:38,330,2759
17/09/2024,64,393,20:06,202,5676
05/04/2024,49,292,11:30,86,2783
11/04/2024,35,28,9:12,456,3420
28/04/2024,39,150,10:21,35,1020
05/03/2024,15,356,19:11,273,5740
22/02/2024,56,197,16:43,403,3547
22/02/2024,47,519,14:05,172,5442
22/02/2024,38,231,10:49,81,3665
14/08/2024,10,160,13:39,37,1194
28/03/2024,80,143,10:33,305,2793
04/07/2024,46,285,15:16,254,1816
06/05/2024,79,150,16:47,267,2343
15/08/2024,1,568,17:24,196,5434
02/09/2024,52,398,10:34,104,2936
01/09/2024,35,563,19:09,43,954
05/09/2024,28,492,11:00,104,2763
01/07/2024,52,482,13:55,350,1827
21/04/2024,2,129,15:56,437,5545
27/08/2024,58,555,12:29,300,2367
08/06/2024,16,378,20:27,158,1037
21/05/2024,8,574,16:56,413,2197
23/05/2024,8,102,18:50,271,5172
10/05/2024,13,387,9:27,328,1537
16/05/2024,9,135,18:37,254,4066
07/06/2024,1,23,17:09,56,2423
22/07/2024,68,203,13:41,392,3096
19/07/2024,74,226,11:08,447,5005
16/05/2024,26,528,19:52,325,4007
25/04/2024,29,100,19:17,243,3345
06/03/2024,62,353,16:40,352,2218
24/05/2024,59,398,12:46,144,1500
26/06/2024,46,467,15:42,401,3346
06/03/2024,17,382,17:50,295,2850
31/05/2024,30,544,9:46,400,4133
11/05/2024,15,470,19:40,55,3421
07/04/2024,28,404,18:53,394,5435
09/07/2024,42,217,18:40,57,4829
31/07/2024,30,451,15:45,174,1278
22/03/2024,64,9,11:35,254,1333
11/07/2024,32,405,20:26,127,3409
28/05/2024,51,138,17:26,228,1110
24/05/2024,39,54,15:15,40,3684
20/08/2024,39,376,18:25,31,3591
16/07/2024,7,488,12:55,378,4672
17/08/2024,46,515,11:20,48,2238
14/08/2024,55,166,12:53,343,3310
15/09/2024,1,501,17:35,220,1774
22/05/2024,2,123,16:53,365,3430
22/03/2024,42,355,12:45,72,4933
19/08/2024,34,408,19:29,321,4436
06/06/2024,62,507,13:42,367,4399
30/05/2024,3,99,20:55,288,5220
17/06/2024,6,69,13:26,243,2472
03/05/2024,9,209,9:44,421,4592
08/09/2024,81,446,13:20,445,5556
24/08/2024,42,156,19:23,252,4966
07/04/2024,41,561,16:58,183,4191
06/05/2024,83,541,17:30,218,1574
11/08/2024,35,190,20:33,99,5057
16/08/2024,67,425,19:42,303,1783
29/07/2024,46,521,15:25,367,1723
16/08/2024,45,312,12:09,281,2069
14/08/2024,26,351,20:53,130,2997
18/08/2024,65,511,15:28,111,3861
17/06/2024,16,505,17:30,51,1640
15/04/2024,46,384,13:28,90,2954
30/04/2024,76,253,16:14,412,5736
05/05/2024,12,107,14:29,288,4335
30/06/2024,54,571,19:54,315,3730
17/04/2024,22,444,11:55,78,2692
08/03/2024,68,170,11:35,125,2150
12/08/2024,54,297,14:13,61,2224
31/05/2024,10,156,19:10,319,2672
27/05/2024,71,197,15:42,55,4163
09/03/2024,83,508,18:36,387,4853
02/05/2024,4,436,15:28,338,5201
26/05/2024,58,570,19:48,180,2529
08/09/2024,12,103,19:06,98,3244
05/08/2024,72,195,13:04,152,4060
05/09/2024,20,451,20:04,316,2313
22/04/2024,3,350,19:46,54,4854
26/06/2024,41,403,12:56,439,1723
14/07/2024,11,169,10:44,314,2781
23/04/2024,23,137,19:25,393,2225
31/07/2024,54,78,15:58,179,3119
09/05/2024,27,552,9:52,245,1241
14/09/2024,20,348,11:58,386,5731
22/02/2024,23,545,15:26,259,1999
27/04/2024,53,366,14:47,432,1243
12/04/2024,78,499,12:50,69,5371
14/05/2024,66,158,15:15,95,4890
26/08/2024,22,347,12:26,420,4902
17/08/2024,39,245,18:50,393,5657
27/03/2024,35,134,20:31,343,1698
20/04/2024,30,538,12:40,339,4587
29/08/2024,83,513,19:19,127,1401
09/03/2024,5,103,14:59,385,2323
07/07/2024,4,223,13:49,307,4661
03/05/2024,13,455,19:34,131,1229
05/09/2024,58,314,19:00,299,4701
12/06/2024,18,582,16:46,469,4137
11/07/2024,17,65,16:29,472,3373
16/07/2024,22,429,19:09,47,4565
17/05/2024,50,477,18:52,139,1901
22/02/2024,63,22,20:58,451,2432
05/05/2024,68,536,17:58,56,2057
15/09/2024,29,318,17:10,378,4471
02/03/2024,53,286,14:11,212,3681
21/04/2024,62,185,14:41,440,3863
16/09/2024,16,317,17:16,259,3672
19/07/2024,80,325,16:10,128,1144
30/05/2024,2,522,16:47,172,1755
10/08/2024,16,24,17:11,85,3269
04/04/2024,77,49,9:15,392,3927
04/03/2024,49,536,13:12,436,1373
28/08/2024,21,390,13:14,400,1526
25/04/2024,62,373,18:37,82,2135
24/02/2024,42,154,17:32,261,1603
12/09/2024,61,351,9:44,217,2318
14/05/2024,29,99,17:45,277,2551
18/04/2024,19,436,18:49,239,1314
28/03/2024,15,411,15:23,393,4254
04/09/2024,16,499,12:50,194,2568
01/08/2024,6,112,17:21,302,2623
18/04/2024,41,427,14:45,441,1433
20/05/2024,17,338,17:50,91,4923
05/08/2024,2,7,11:05,136,3047
20/06/2024,52,114,10:57,102,3545
17/06/2024,41,144,15:51,227,1749
22/03/2024,32,76,20:42,310,3890
13/09/2024,13,58,13:51,255,4021
24/02/2024,56,531,20:34,262,1947
27/04/2024,32,414,12:23,361,5233
18/08/2024,23,188,12:43,76,2676
28/05/2024,14,2,19:31,395,1084
29/04/2024,76,187,10:57,209,2441
15/08/2024,35,148,9:22,196,1325
30/06/2024,3,283,18:51,162,4392
17/07/2024,8,194,20:31,265,1236
28/04/2024,24,89,19:02,144,1407
07/06/2024,15,45,16:19,219,1289
06/05/2024,60,231,17:42,448,4931
22/02/2024,44,41,14:28,239,2681
26/06/2024,68,366,11:48,84,4953
20/06/2024,17,133,20:31,450,2178
06/07/2024,78,88,13:54,296,5331
15/08/2024,48,158,19:42,157,3641
09/06/2024,58,167,12:33,405,1902
29/04/2024,79,176,20:41,202,5107
03/03/2024,32,270,17:47,250,1416
30/04/2024,56,389,10:32,244,3686
05/03/2024,4,466,9:35,93,4777
04/06/2024,77,290,20:25,419,3314
23/08/2024,4,418,19:56,94,2408
12/08/2024,18,291,9:33,38,1337
27/06/2024,9,444,19:28,205,3999
11/08/2024,61,462,15:20,445,3026
25/06/2024,84,60,19:17,215,5007
03/03/2024,31,25,20:11,126,3402
15/07/2024,1,546,20:44,451,1684
14/05/2024,6,477,18:37,183,4776
11/09/2024,19,402,19:46,426,3516
01/08/2024,18,488,14:32,310,2108
09/03/2024,29,138,16:51,259,4825
10/07/2024,11,506,17:31,427,2648
30/05/2024,29,358,15:05,298,2604
12/09/2024,20,392,20:16,331,1567
20/07/2024,60,187,12:06,119,2678
27/02/2024,68,304,15:35,388,5644
19/08/2024,12,200,10:19,153,1173
29/04/2024,80,95,10:28,358,5474
01/05/2024,43,172,19:15,174,4714
12/08/2024,37,437,9:54,328,4119
30/03/2024,45,475,18:17,153,1738
04/03/2024,79,29,12:07,357,3059
30/04/2024,67,21,12:52,271,5158
16/03/2024,78,278,15:13,241,4496
09/06/2024,61,424,20:59,352,990
06/03/2024,42,146,9:56,450,2448
01/07/2024,1,213,10:31,258,4620
06/05/2024,27,314,14:04,256,1198
03/08/2024,5,46,9:02,138,5592
20/03/2024,61,560,10:32,98,3340
28/02/2024,46,544,12:53,417,5096
30/05/2024,35,2,11:45,341,5421
27/05/2024,78,91,13:41,149,3506
11/04/2024,78,271,10:17,41,4652
02/03/2024,2,567,14:17,385,2697
25/03/2024,26,250,11:34,271,5026
06/08/2024,83,318,15:23,174,5577
27/05/2024,35,174,10:56,98,4392
29/07/2024,66,491,9:16,386,3757
07/09/2024,75,562,19:29,467,3983
25/08/2024,66,137,14:05,460,1455
09/03/2024,27,423,12:49,456,2961
03/06/2024,42,92,13:50,96,3481
25/08/2024,26,46,15:43,136,4486
03/07/2024,4,479,11:00,120,1669
05/06/2024,23,161,19:08,406,3957
14/06/2024,28,422,14:27,249,4006
29/05/2024,57,579,16:12,111,2059
28/06/2024,37,226,15:12,148,2925
17/04/2024,7,352,13:16,384,3615
01/09/2024,28,466,10:01,234,2051
02/06/2024,68,211,13:51,407,2095
17/09/2024,72,52,14:02,460,1959
13/04/2024,44,380,20:53,135,3431
16/09/2024,3,287,16:32,132,4309
27/02/2024,45,21,12:58,420,1233
26/03/2024,45,89,16:53,282,936
06/04/2024,10,267,14:32,104,2774
19/06/2024,53,162,14:21,247,5134
29/04/2024,82,306,10:42,273,1174
24/03/2024,78,275,12:38,198,2461
07/04/2024,21,186,9:18,28,1490
02/07/2024,36,45,13:45,261,3139
08/04/2024,32,179,15:24,116,2964
31/03/2024,23,229,19:20,424,4811
17/08/2024,57,209,17:21,220,5178
13/03/2024,35,433,18:37,425,5003
18/07/2024,51,432,19:35,385,5407
17/08/2024,63,361,11:49,338,3675
17/07/2024,6,7,18:04,89,4867
07/07/2024,35,518,16:56,352,5714
28/04/2024,33,517,17:58,334,2722
13/09/2024,47,9,18:48,56,2452
27/02/2024,61,254,13:24,369,5299
21/06/2024,77,314,15:42,188,5127
10/04/2024,46,355,12:59,300,1741
21/05/2024,58,434,19:27,203,5237
22/02/2024,20,133,9:53,104,2963
24/03/2024,14,582,13:02,363,3869
07/07/2024,78,76,17:21,286,4651
05/05/2024,69,335,10:01,48,2806
15/05/2024,46,395,19:09,223,2207
12/08/2024,59,510,14:51,215,1206
18/05/2024,8,430,18:15,95,2551
19/06/2024,13,418,19:22,179,5377
24/08/2024,84,327,20:32,458,5471
11/07/2024,63,56,15:16,462,3213
21/05/2024,3,185,20:55,421,2108
11/09/2024,55,554,12:23,331,2578
09/09/2024,82,508,14:37,269,3495
22/02/2024,71,72,12:22,363,3228
24/02/2024,24,428,11:18,408,1298
06/09/2024,62,577,9:34,374,3735
01/09/2024,55,239,17:52,469,3069
22/07/2024,78,357,15:40,136,5430
06/08/2024,16,290,14:18,380,1564
03/08/2024,1,207,9:17,373,4005
08/04/2024,84,29,11:56,271,5176
25/08/2024,39,384,17:05,430,2795
11/06/2024,22,206,17:02,375,3221
03/09/2024,70,123,19:12,42,1631
14/04/2024,23,242,17:28,285,5419
30/04/2024,10,402,17:06,231,3057
08/05/2024,45,157,12:51,74,2992
24/05/2024,21,342,9:10,303,5484
05/04/2024,9,504,12:14,335,2788
21/04/2024,83,579,20:42,119,4357
22/02/2024,67,498,9:01,206,3883
03/09/2024,36,367,9:35,104,3265
11/07/2024,66,221,11:19,309,2332
11/04/2024,42,515,15:32,146,5523
04/08/2024,84,274,14:35,335,3481
13/06/2024,17,413,9:46,179,3049
02/04/2024,14,115,10:32,121,3732
09/07/2024,10,142,11:08,45,2027
24/05/2024,13,356,15:23,377,4248
26/02/2024,74,523,9:44,253,5779
29/08/2024,76,136,20:20,361,4216
28/02/2024,14,426,20:16,161,1238
03/04/2024,47,375,12:54,283,1728
19/07/2024,83,35,19:42,77,1557
09/03/2024,13,394,10:23,426,5217
26/06/2024,42,153,13:04,466,4223
14/08/2024,22,398,16:37,242,2872
06/03/2024,46,404,19:40,137,5783
29/05/2024,43,123,19:29,221,5101
23/05/2024,82,239,20:37,54,3405
30/08/2024,7,261,9:54,277,2164
03/09/2024,11,370,13:41,423,3879
09/03/2024,79,448,10:44,219,1387
18/03/2024,58,580,11:49,131,4451
24/08/2024,80,270,20:04,86,3719
25/07/2024,81,73,9:44,163,1851
27/06/2024,13,438,18:43,211,3185
28/02/2024,42,258,17:39,348,3602
09/09/2024,32,321,15:21,426,970
28/06/2024,16,101,20:36,97,2928
23/07/2024,8,311,20:25,55,4697
26/02/2024,16,480,14:45,281,2660
03/04/2024,67,207,12:12,160,2970
24/02/2024,41,165,14:25,93,3195
30/03/2024,61,521,13:19,221,5290
31/07/2024,62,293,14:49,64,4951
11/05/2024,67,507,13:49,211,5553
21/07/2024,14,187,11:21,62,5781
19/05/2024,37,390,17:56,358,938
25/08/2024,9,257,16:14,289,2217
22/05/2024,3,473,11:17,306,4212
12/09/2024,43,354,13:00,411,4056
06/08/2024,51,107,17:05,355,1650
27/08/2024,64,567,13:13,460,2728
19/03/2024,31,44,14:45,230,2768
08/09/2024,17,274,11:04,262,1543
20/04/2024,28,306,11:00,385,4641
01/07/2024,65,279,10:50,224,4291
25/07/2024,48,533,14:38,255,4438
05/03/2024,41,26,9:51,297,2938
21/08/2024,41,315,17:45,154,2525
06/06/2024,21,83,11:19,109,3760
29/07/2024,56,373,15:33,174,4313
29/07/2024,66,53,17:05,274,5434
12/09/2024,52,21,15:16,296,3572
24/02/2024,3,249,11:40,237,5154
28/03/2024,21,471,9:36,206,3914
10/09/2024,70,70,14:52,314,5025
04/08/2024,42,445,16:07,50,5183
30/05/2024,52,512,10:46,86,1999
06/05/2024,9,446,10:14,44,3911
07/06/2024,30,546,11:03,358,3938
13/05/2024,2,480,18:37,197,1799
21/06/2024,80,85,9:47,166,2889
08/09/2024,6,581,19:40,461,3652
28/02/2024,41,507,10:45,265,2905
22/05/2024,51,548,10:12,190,1368
14/04/2024,54,537,13:59,297,4820
14/09/2024,23,582,15:53,407,3290
28/05/2024,39,51,13:02,412,2651
05/06/2024,18,506,13:11,126,1747
23/07/2024,21,400,20:40,244,1934
07/05/2024,39,438,17:34,162,3130
01/07/2024,75,383,14:56,106,4384
01/03/2024,66,305,16:38,297,1547
04/08/2024,59,36,19:08,160,2033
18/08/2024,75,59,18:45,330,3206
20/07/2024,33,459,14:00,254,1819
08/04/2024,82,511,19:41,303,3291
13/05/2024,40,457,14:18,446,3234
21/07/2024,35,403,12:37,335,1502
25/06/2024,6,489,16:24,415,1228
26/03/2024,24,383,13:13,167,5440
20/08/2024,69,581,9:56,68,4092
04/03/2024,63,454,9:20,215,4871
26/08/2024,37,49,13:43,70,4504
30/08/2024,45,513,11:49,316,4408
13/05/2024,5,83,10:11,373,3301
23/07/2024,33,312,12:40,187,2667
07/03/2024,33,486,12:39,250,1598
17/08/2024,11,48,14:29,312,885
18/05/2024,21,71,10:30,33,3058
22/07/2024,38,228,18:48,101,4803
25/02/2024,6,276,18:42,71,2710
21/07/2024,57,359,12:03,161,3141
31/07/2024,52,32,10:10,73,4118
03/04/2024,40,334,12:21,57,2082
08/09/2024,4,562,9:19,320,2255
12/07/2024,7,208,10:33,192,1167
05/04/2024,32,217,10:12,360,3640
25/08/2024,53,218,11:49,331,5652
07/06/2024,80,128,9:15,225,2211
15/04/2024,78,117,14:33,285,4180
30/07/2024,49,460,12:03,61,1850
05/04/2024,33,493,10:25,348,2435
02/09/2024,1,74,14:19,236,3411
23/02/2024,46,288,11:13,282,3028
26/05/2024,13,573,19:22,166,2012
15/09/2024,76,481,18:09,131,2281
22/02/2024,34,16,20:25,432,5772
07/03/2024,56,77,15:29,56,1294
08/07/2024,78,527,12:41,144,978
24/07/2024,62,347,19:08,317,967
29/02/2024,23,479,10:11,271,1283
01/05/2024,81,327,10:10,55,4805
19/05/2024,63,82,16:05,254,1126
05/05/2024,37,521,11:35,189,4854
04/04/2024,28,65,18:41,64,1011
08/09/2024,40,444,14:44,127,1342
19/07/2024,77,558,17:35,78,2075
28/08/2024,32,253,20:53,177,2788
26/04/2024,72,16,9:10,362,5198
11/07/2024,65,90,16:09,51,3823
13/04/2024,80,284,16:13,77,1785
15/03/2024,61,371,16:27,96,3508
02/05/2024,17,563,14:36,454,4152
04/08/2024,38,377,9:44,379,3377
30/03/2024,13,480,12:03,446,1963
15/08/2024,53,52,19:26,467,1927
19/07/2024,76,499,13:01,334,2192
21/04/2024,78,206,20:05,418,5538
07/07/2024,81,298,10:47,198,3072
24/07/2024,49,349,17:11,430,3709
02/07/2024,44,383,18:41,396,4135
20/04/2024,27,518,17:30,357,4641
09/03/2024,2,262,9:34,255,1154
13/09/2024,69,519,9:43,102,3040
03/03/2024,45,300,11:35,162,984
24/04/2024,49,387,15:31,209,1415
12/09/2024,47,173,14:55,334,1205
22/02/2024,48,42,20:17,281,1143
14/09/2024,82,228,11:17,438,5731
18/04/2024,24,176,17:25,416,2692
07/08/2024,60,115,14:12,382,3974
07/03/2024,10,254,12:58,113,913
16/07/2024,53,549,11:36,122,5422
15/03/2024,53,13,18:24,219,2749
04/08/2024,21,321,9:02,105,3842
07/09/2024,51,137,12:30,212,5672
02/08/2024,63,573,18:14,399,4151
13/03/2024,37,62,17:39,259,3628
07/03/2024,73,327,14:29,274,4715
02/08/2024,54,471,14:07,184,5171
23/08/2024,24,519,12:50,406,4150
09/08/2024,78,534,13:07,302,1484
16/06/2024,12,216,16:56,94,3789
10/05/2024,30,362,12:00,48,5147
07/03/2024,73,300,15:38,231,5344
16/05/2024,30,13,13:11,431,3664
30/07/2024,17,205,17:14,38,1845
28/07/2024,47,19,9:45,126,2709
31/07/2024,59,96,9:46,102,940
17/08/2024,32,371,12:48,50,4695
13/04/2024,79,311,19:33,329,5480
13/04/2024,67,235,10:28,469,4938
08/09/2024,32,508,16:34,145,3193
29/05/2024,83,159,12:04,443,1634
23/02/2024,32,128,11:17,135,4521
01/06/2024,59,499,11:26,289,5782
23/06/2024,18,504,11:40,226,3482
07/03/2024,29,348,15:37,445,5257
27/06/2024,49,276,16:35,163,3106
04/07/2024,66,302,14:27,140,3152
03/05/2024,66,194,11:19,353,2913
05/06/2024,1,206,15:58,225,5361
05/09/2024,82,402,10:10,266,3115
22/03/2024,62,444,17:01,88,4347
28/06/2024,15,466,17:48,91,1617
26/02/2024,84,484,19:10,349,2207
29/02/2024,22,54,20:13,365,4256
03/03/2024,79,105,16:13,89,2737
09/03/2024,84,131,15:04,152,2050
24/07/2024,11,410,19:28,244,1470
30/05/2024,55,106,18:13,120,949
12/03/2024,41,457,16:09,227,4257
29/07/2024,11,163,20:21,65,1385
15/03/2024,19,578,16:45,271,1688
16/05/2024,37,485,15:33,250,5512
29/06/2024,5,120,19:23,114,4045
02/06/2024,14,305,9:55,460,4111
23/05/2024,72,202,9:12,303,5549
25/06/2024,63,407,20:45,245,3142
01/04/2024,9,213,17:02,250,4254
14/06/2024,72,541,20:33,380,2899
10/04/2024,71,90,20:13,265,2198
11/03/2024,33,161,13:45,313,1052
12/08/2024,78,282,10:29,135,4941
14/09/2024,83,2,11:19,156,3382
03/06/2024,40,212,19:02,205,5048
28/06/2024,59,514,10:15,126,4327
02/06/2024,74,228,14:19,225,3780
31/08/2024,74,173,11:16,105,896
02/04/2024,60,232,16:56,86,3491
08/05/2024,8,108,15:31,351,4060
12/05/2024,69,452,14:30,320,2710
19/06/2024,6,230,10:09,216,3279
05/08/2024,7,471,20:34,343,5513
23/03/2024,36,79,16:05,89,2421
11/04/2024,83,153,20:53,467,4263
02/09/2024,55,80,14:52,464,3220
14/07/2024,69,206,20:23,220,3637
25/05/2024,25,485,16:34,91,5038
30/08/2024,32,24,11:24,399,935
31/07/2024,45,157,10:07,339,1515
08/05/2024,53,255,10:03,348,2256
27/04/2024,61,478,15:41,308,1456
25/02/2024,50,112,13:52,259,2623
12/08/2024,10,463,16:29,185,1145
